Wochendatum	Gruppe	Sterbefallzahl	Erwartete_Sterbefahllzahl	zscore	Hochrechnung
2016-05-15	Brandenburg	616	565.949764784431	1.56901670969794	nein
2016-05-22	Brandenburg	570	559.797937962785	0.32535545115449	nein
2016-05-29	Brandenburg	583	553.951031690754	0.926478503019611	nein
2016-06-05	Brandenburg	597	548.486936278261	1.5466567575626	nein
2016-06-12	Brandenburg	525	543.476133890988	-0.603928942217708	nein
2016-06-19	Brandenburg	534	538.981344047245	-0.162870157807591	nein
2016-06-26	Brandenburg	583	535.057330297684	1.54872181615125	nein
2016-07-03	Brandenburg	557	531.750831649897	0.823882933942284	nein
2016-07-10	Brandenburg	523	529.100582156052	-0.201556482704258	nein
2016-07-17	Brandenburg	533	527.137383998337	0.193365242609254	nein
2016-07-24	Brandenburg	514	525.884203010126	-0.394737977511579	nein
2016-07-31	Brandenburg	563	525.356260491954	1.23201899900443	nein
2016-08-07	Brandenburg	542	525.561101082162	0.541496530534414	nein
2016-08-14	Brandenburg	538	526.498623025445	0.379150081682582	nein
2016-08-21	Brandenburg	552	528.16106419343	0.781742665058709	nein
2016-08-28	Brandenburg	557	530.532944427028	0.865395591913957	nein
2016-09-04	Brandenburg	562	533.590971984309	0.925790169515735	nein
2016-09-11	Brandenburg	534	537.303928881724	-0.108350275126869	nein
2016-09-18	Brandenburg	558	541.632556480841	0.531424155011007	nein
2016-09-25	Brandenburg	529	546.529468532086	-0.572523854895705	nein
2016-10-02	Brandenburg	546	551.939123731193	-0.192327118153155	nein
2016-10-09	Brandenburg	572	557.797893321453	0.454739687069954	nein
2016-10-16	Brandenburg	588	564.034261004202	0.760975750805933	nein
2016-10-23	Brandenburg	580	570.569192019196	0.298985589394773	nein
2016-10-30	Brandenburg	546	577.316705380452	-0.998846003595455	nein
2016-11-06	Brandenburg	550	584.18467764548	-1.08463819982773	nein
2016-11-13	Brandenburg	607	591.075898143551	0.495082788771026	nein
2016-11-20	Brandenburg	563	597.88938437822	-1.09408260193215	nein
2016-11-27	Brandenburg	568	604.521952682237	-1.13932715487623	nein
